#{"t_start": 1768911982.4930196, "env_id": "None"}
r,l,t
11.437518,77,1.825518
-36.221816,42,2.857675
-88.67049,12,3.245761
-141.857605,31,3.972488
-72.862602,9,4.198739
-77.378569,9,4.368757
-52.385047,15,4.779544
36.179092,3,4.842417
-50.0,1,4.876175
-66.696596,4,5.022121
23.045025,52,6.212481
59.223546,52,7.496709
-133.404647,41,8.467533
-51.140736,13,8.89112
-50.0,1,8.921257
-73.633519,172,13.100168
21.691846,27,13.752733
-77.014529,160,17.731695
-35.335329,110,20.431656
-50.0,1,20.464637
-62.20785,4,20.549228
-151.919314,55,21.94157
-73.854791,10,22.201172
-41.206525,60,23.683064
-22.930492,10,23.964108
-52.274189,244,29.755173
87.964384,296,36.912837
97.613908,220,42.223022
-52.11084,58,43.560447
0.015141,1992,90.666124
44.21979,447,101.203049
106.059074,813,120.44198
-128.015319,740,137.981923
-87.183711,467,149.033651
49.969889,31,149.783774
-29.766192,92,152.098561
-1.837312,48,153.195813
-67.119699,148,156.76871
42.237945,284,163.633913
33.787298,180,167.904335
-57.94711,160,171.73726
-53.414822,3,171.800996
-25.341994,97,174.147846
-75.790832,2,174.197723
-32.007047,10,174.449616
-58.415925,11,174.71299
5.951571,155,178.449703
126.535886,192,183.072753
-49.598462,2,183.122893
-2.72329,219,188.44348
58.916222,116,191.184961
-2.874363,123,194.160131
-48.976529,10,194.402671
-98.117082,54,195.658481
-178.401631,95,197.954114
-94.688513,31,198.801142
-4.093664,262,205.008188
35.626389,199,209.751111
-32.656503,59,211.186071
-104.451788,140,214.550117
-93.901956,50,215.7782
153.93335,270,222.325548
31.218727,140,225.698379
-162.871849,138,229.024284
-109.635281,215,234.20211
-44.425469,139,237.650766
-7.738342,58,239.029691
-124.440608,1795,269.494373
-1848.861713,38398,915.18161
-345.950501,9858,1081.177656
-55.654562,398,1087.869166
-1210.420786,24438,1498.840802
-166.839625,293,1506.033665
-52.077689,951,1528.758416
259.196634,1109,1555.395426
-19.901438,408,1565.212384
10.889457,47,1566.249857
49.138111,350,1574.616991
-151.207839,4204,1675.126337
23.319094,50,1676.366062
-61.338357,239,1682.049768
262.144667,392,1691.415523
146.573823,277,1698.138227
312.470136,544,1711.060767
-15.857676,97,1713.460056
-105.16298,90,1715.593843
356.022516,660,1731.498963
-50.0,1,1731.529234
345.605277,434,1745.79593
124.142358,1212,1766.181149
257.526246,1015,1783.229387
207.555117,75,1784.513556
139.317363,223,1788.258415
-2.600514,41,1789.365241
319.970386,617,1804.186569
422.26808,452,1814.939193
253.022606,431,1825.447085
61.87565,205,1830.405182
-87.231933,35,1831.293493
232.596623,330,1839.167872
-38.456338,90,1841.335477
-2.087667,25,1841.902307
-38.110384,95,1844.305541
-144.085518,5,1844.402232
77.863934,105,1847.054065
312.985956,1094,1872.937273
